en,Heat,"Obsessive master thief Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,15/12/1995,170,A Los Angeles Crime Saga,Heat,7.7,1886,7.99
en,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome Alaska.",12.140733,22/12/1995,78,Part Dog. Part Wolf. All Hero.,Balto,7.1,423,6.99
en,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",5.092,22/12/1995,192,"Triumphant in Victory Bitter in Defeat. He Changed the World But Lost a Nation.",Nixon,7.1,72,6.99
en,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,22/11/1995,178,No one stays at the top forever.,Casino,7.8,1343,7.99
en,Sense and Sensibility,"Rich Mr. Dashwood dies leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,13/12/1995,136,Lose your heart and come to your senses.,Sense and Sensibility,7.2,364,6.99
en,Leaving Las Vegas,"Ben Sanderson an alcoholic Hollywood screenwriter who lost everything because of his drinking arrives in Las Vegas to drink himself to death. There he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",10.332025,27/10/1995,112,I Love You... The Way You Are.,Leaving Las Vegas,7.1,365,6.99
en,Twelve Monkeys,"In the year 2035 convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996 he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and patient Jeffrey Goines the son of a famous virus expert who may hold the key to the mysterious rogue group the Army of the 12 Monkeys thought to be responsible for unleashing the killer disease.",12.297305,29/12/1995,129,The future is history.,Twelve Monkeys,7.4,2470,6.99
en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind while his novice partner Mills scoffs at his efforts to unravel the case.",18.45743,22/09/1995,127,Seven deadly sins. Seven ways to die.,Se7en,8.1,5915,7.99
en,The Usual Suspects,"Held in an L.A. interrogation room Verbal Kint attempts to convince the feds that a mythic crime lord Keyser Soze not only exists but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302466,19/07/1995,106,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,8.1,3334,7.99
en,A Midwinter's Tale,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet somewhat against the advice of his agent Margaretta. As the cast he assembles are still available even at Christmas and are prepared to do it on a 'profit sharing' basis (that is they may not get paid anything) he cannot expect - and does not get - the cream of the cream. But although they all bring their own problems and foibles along something bigger starts to emerge in the perhaps aptly named village of Hope.",0.513391,01/12/1995,99,The drama. The passion. The intrigue... And the rehearsals haven't even started.,A Midwinter's Tale,7.5,6,7.99
en,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,5.951077,28/05/1995,135,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,The Bridges of Madison County,7.3,397,6.99
